id,chinese_name,name,codename,overridenametextid,overridepartnerskilltextid,ispal,tribe,bpclass,variant,volume_size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,nocturnal,4d_total,hp,melee_attack,remote_attack,defense,support,speed_of_work,level_1,level_20,level_50,airresponse,endurance,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,being_damage_multiplier,catch_rate,experience_multiplier,price,must_bring_entry_1,must_bring_entry_2,numerical_description,lv1,lv2,lv3,lv4,lv5,skill_description
103,Lightning Bear,Grizzbolt,ElecPanda,,,1,EPalTribeID::ElecPanda,ElecPanda,yes,L,8,electricity,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,425,105,120,100,100,100,100,0,0,0,Warlike,100,80,140,470,550,100%,100%,100%,7720,,,Skill power,6,6,7,9,12,"Can be moved around on its back. While mounted, it can also continuously attack with its machine gun."
104,lily queen,Lyleen,LilyQueen,,,1,EPalTribeID::LilyQueen,LilyQueen,yes,L,9,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,425,110,100,110,105,100,100,0,0,0,NotInterested,100,60,100,450,0,100%,100%,100%,7160,Elf King,,treatment value,1000,1100,1300,1600,2000,"Once activated, the Queen's healing ability can be used to restore a large amount of health to the player."
104,black moon queen,Lyleen Noct,LilyQueen_Dark,,,1,EPalTribeID::LilyQueen_Dark,LilyQueen_Dark,yes,L,10,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,435,110,100,110,115,100,100,0,0,0,NotInterested,100,60,100,450,0,100%,100%,100%,7610,,,treatment value,1000,1100,1300,1600,2000,"Once activated, the Queen's healing ability can be used to restore a large amount of health to the player."
105,Horus,Faleris,Horus,,,1,EPalTribeID::Horus,Horus,yes,L,9,fire,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,415,100,100,105,110,90,100,0,0,0,Warlike,230,150,200,1000,1400,100%,100%,100%,6720,,,Drop increased by %_Ice,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Ice's pallu, you can get more dropped items from that pallu."
106,Pollux,Orserk,ThunderDragonMan,,,1,EPalTribeID::ThunderDragonMan,ThunderDragonMan,yes,L,9,dragon,electricity,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,430,100,100,130,100,100,100,0,0,0,Warlike,100,100,185,900,0,100%,100%,100%,8320,Thunder Emperor,,Drop increased by %_Water,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Water's pallu, you can get more dropped items from that pallu."
107,Heterogeneous Griffin,Shadowbeak,BlackGriffon,,,1,EPalTribeID::BlackGriffon,BlackGriffon,yes,L,10,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,510,120,130,120,140,90,100,0,0,0,Warlike,250,80,80,850,1200,100%,100%,100%,9060,,,Elemental power bonus%_Dark,50,55,65,80,100,You can ride on its back and fly in the air. Elemental Dark attacks during riding will be strengthened.
108,Knight of Light,Paladius,SaintCentaur,,,1,EPalTribeID::SaintCentaur,SaintCentaur,yes,L,20,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,505,130,110,120,145,100,100,0,0,0,Warlike,100,50,100,800,1400,100%,100%,100%,8810,legend,holy day,Moving speed%,0,10,12,15,20,Can be moved around on its back. Three jumps are possible during the ride.
109,Chaos Knight,Necromus,BlackCentaur,,,1,EPalTribeID::BlackCentaur,BlackCentaur,yes,L,20,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,495,130,100,145,120,100,100,0,0,0,Warlike,100,100,350,900,1600,100%,100%,100%,8930,legend,Hades,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.
110,Winter Caller,Frostallion,IceHorse,,,1,EPalTribeID::IceHorse,IceHorse,yes,L,20,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,500,140,100,140,120,70,100,0,0,0,Escape_to_Battle,300,120,120,1000,1500,100%,100%,100%,8440,legend,ice King,Elemental power bonus%_Ice,50,55,65,80,100,"You can ride on its back and fly in the air. During the ride, the player's attacks will be transformed into elemental ice, and the elemental ice's attacks will be strengthened."
110,Night Caller,Frostallion Noct,IceHorse_Dark,,,1,EPalTribeID::IceHorse_Dark,IceHorse_Dark,yes,L,20,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,515,140,100,140,135,70,100,0,0,0,Escape_to_Battle,300,120,120,1000,1500,100%,100%,100%,8560,legend,,Elemental power bonus%_Dark,50,55,65,80,100,"You can ride on its back and fly in the air. During riding, the player's attacks will be transformed into elemental Dark, and the attacks of elemental Dark will be strengthened."
111,Vortex Dragon,Jetragon,JetDragon,,,1,EPalTribeID::JetDragon,JetDragon,yes,XL,20,dragon,,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,0,0,460,110,100,140,110,100,100,0,0,0,Warlike,100,600,800,1700,3300,100%,100%,100%,8680,legend,Shenlong,Skill power,13,14,16,20,26,You can ride on its back and fly in the air. It can also continuously attack with its missile launcher while riding.
